sample_num,pile_id1,pile_id2,collector,coll_num,country,latitude,longitude,phyllotaxy,petiole_maxlen,petiole_minlen,small_leaf_len,small_leaf_wid,large_leaf_len,large_leaf_wid,apex_len,apex_wid,fert_leaf_len,fert_leaf_wid,pedicel_len,hyp_len,hyp_wid,calyxlobe_len,calyxlobe_wid,andr_len,cortube_dors_len,cortube_vent_len,cortube_narrow_wid,corolla_curling,anth_tub_len,anth_tip_wid,exsertion_len,flower_len
32,B. crispiloba,Intermediate,Harling,19471,Ecuador,-2.67222,-79.54166,distichous,14,6,122,37,150,49,5,1,128,41,132,7.5,4.9,2.4,1.2,32.1,19.1,16,2.7,curl,7.7,3.3,15.5,39.6
33,B. crispiloba,Intermediate,HolmNielsen,24419,Ecuador,0,-78.66666,distichous,6,5,52,24,105,48,18,3,88,31,100,14.2,7.2,1.8,1.5,46.1,18.8,11.8,5,scroll,10.6,4.9,33.6,60.3
34,B. crispiloba,Intermediate,Webster,30017,Ecuador,0.15,-78.61666,distichous,7,4,80,33,90,49,5,2,61,35,55,11.2,9.5,1.5,1.5,37.5,14.7,11.6,3.4,none,12.3,5.1,25.4,48.7
35,B. crispiloba,Intermediate,Gentry,69945,Ecuador,0.11667,-78.61667,distichous,11,7,185,71,197,75,16,2,180,70,80,12.6,8.7,1.7,1.2,39.9,14.8,11.5,4.2,scroll,7.9,3.8,28.5,52.5
36,B. crispiloba,Intermediate,Gentry,69965,Ecuador,0.96667,-78.6,distichous,10,6,146,52,150,55,10,2,123,52,94,11.2,7.7,1.4,1.4,31.3,14.4,10.8,4.3,curl,8.4,3.7,19.9,42.5
37,B. crispiloba,Intermediate,Gentry,72409,Ecuador,-1.6,-80.7,distichous,15,10,113,39,165,69,13,4,106,38,137,10.5,5.7,1.1,1.3,39.6,16.3,13.9,3.1,none,8.8,3.5,24.8,50.1
38,B. sodiroana,B. sodiroana,Muchhala,129,Ecuador,-0.1,-78.6833,spiral,6,5,47,30,51,24,8,2,47,30,115,9.8,6.2,1.8,2.5,36.4,18,14.6,3.4,none,7.4,4.3,22,46.2
39,B. sodiroana,B. sodiroana,Pachano,177,Ecuador,-1.25,-78.61667,spiral,6,4,49,22,65,27,9,2,55,25,112,9.7,7.3,4.7,2.8,38.1,18.1,15.2,3.2,none,10.3,5.1,22.2,47.8
40,B. sodiroana,B. sodiroana,Muchhala,458,Ecuador,-0.5833,-77.8833,spiral,11,7,83,29,97,38,7,2.5,74,31,125,10.3,6,2.1,2,32,15.2,12.2,3.3,none,8.3,4,19.1,42.3
41,B. sodiroana,B. sodiroana,Bleiweiss,1142,Ecuador,0.1,-78.6,spiral,7,4,50,28,70,39,6,3,50,27,95,11.6,5.6,2,2.1,33.7,15.7,12.3,2.7,none,7.2,3,21.3,45.3
